name,transport_mode,public_code,operator_name,operator_website
BELLEVUE <> CHATEAUCREUX GARE,bus,M4,STAS,https://www.reseau-stas.fr/
SQUARE VIOLETTE <> PLACE CHIPIER,bus,M5,STAS,https://www.reseau-stas.fr/
SQUARE VIOLETTE <> IUT/FACULTE DES SCIENCES,bus,M6,STAS,https://www.reseau-stas.fr/
BELLEVUE <> MICHON,bus,M7,STAS,https://www.reseau-stas.fr/
PLACE CARNOT <> MONTREYNAUD,bus,M9,STAS,https://www.reseau-stas.fr/
PROXISTAS ABOEN/ST NIZIER/ROZIER <> ST MAURICE EN GOURGOIS,bus,PX1,STAS,https://www.reseau-stas.fr/
BELLEVUE <> EGLISE CORBUSIER,bus,S1,STAS,https://www.reseau-stas.fr/
COTONNE <> TERRENOIRE,bus,S3,STAS,https://www.reseau-stas.fr/
SQUARE VIOLETTE <> MARANDINIERE,bus,S6,STAS,https://www.reseau-stas.fr/
MICHON <> DORIAN/HOTEL DE VILLE,bus,S7,STAS,https://www.reseau-stas.fr/
JEAN JAURÈS <> MONTREYNAUD,bus,S9,STAS,https://www.reseau-stas.fr/
HOPITAL NORD <> SOLAURE,tram,T1,STAS,https://www.reseau-stas.fr/
HOPITAL NORD <> SOLAURE,bus,T1B,STAS,https://www.reseau-stas.fr/
CITÉ DU DESIGN <> CHATEAUCREUX GARE,tram,T2,STAS,https://www.reseau-stas.fr/
HOP. NORD/TERRASSE <> BELLEVUE,tram,T3,STAS,https://www.reseau-stas.fr/
THEY <> PLACE DU DORLAY,bus,TX3,STAS,https://www.reseau-stas.fr/
MERLEY <> MAIRIE,bus,TX4,STAS,https://www.reseau-stas.fr/
