Name,longitude,latitude,TransportMode,StopPlaceType
MAIRIE FRAISSES,799353.4419487135,6477324.370753329,bus,,FR:Quay:52:,any,
MAIRIE FRAISSES,799334.5879803671,6477339.517593101,bus,,FR:Quay:53:,any,
LA PERIVAURE,799627.9787555244,6477064.268326324,bus,,FR:Quay:54:,any,
LA PERIVAURE,799615.1784346073,6477086.357332738,bus,,FR:Quay:55:,any,
PONT-CHANEY,800411.646718035,6477108.55498939,bus,,FR:Quay:58:,any,
PONT-CHANEY,800419.3414155922,6477073.521150191,bus,,FR:Quay:59:,any,
LYCEE A.CAMUS,800233.1739066405,6477268.929744857,bus,,FR:Quay:60:,any,
LYCEE A.CAMUS,800203.3986807553,6477292.162283799,bus,,FR:Quay:93:,any,
RUE DE LA LOIRE,800525.5308571922,6477224.480321507,bus,,FR:Quay:61:,any,
RUE DE LA LOIRE,800521.6112614259,6477233.505532467,bus,,FR:Quay:64:,any,
HOPITAL FIRMINY,800926.8748752719,6477190.093589591,bus,,FR:Quay:62:,any,
HOPITAL FIRMINY,800907.0729005886,6477211.243097921,bus,,FR:Quay:63:,any,
LA PATE,800976.1675564279,6476994.850419418,bus,,FR:Quay:67:,any,
LA PATE,800979.513126987,6477035.784898053,bus,,FR:Quay:68:,any,
EGLISE CORBUSIER,800489.9961519311,6476923.055593208,bus,,FR:Quay:2280:,any,
AMICALE FAYOL,801832.199101988,6476854.686864429,bus,,FR:Quay:70:,any,
AMICALE FAYOL,801738.209954712,6476963.38899551,bus,,FR:Quay:71:,any,
C. C. LES PRAIRIES,801532.7847275005,6477243.884808532,bus,,FR:Quay:2045:,any,
C. C. LES PRAIRIES,801553.3817004795,6477198.750214217,bus,,FR:Quay:2046:,any,
GAFFARD,802256.0611566158,6477000.944530517,bus,,FR:Quay:74:,any,
GAFFARD,802289.4114784375,6477045.620063853,bus,,FR:Quay:75:,any,
STADE GAFFARD,802360.0613350624,6477246.836317603,bus,,FR:Quay:76:,any,
STADE GAFFARD,802394.5382125193,6477306.48872206,bus,,FR:Quay:77:,any,
AVENUE DU PARC,803388.0523751681,6477354.982513652,bus,,FR:Quay:78:,any,
AVENUE DU PARC,803387.1723818616,6477368.97735732,bus,,FR:Quay:79:,any,
MICHALIERE,803830.3860769916,6477206.349098482,bus,,FR:Quay:80:,any,
CHARME,803657.6952533892,6477341.697697945,bus,,FR:Quay:81:,any,
CHARME,803706.1840342768,6477404.22810796,bus,,FR:Quay:82:,any,
LA POMASSE,784817.8141791566,6477115.250543336,bus,,FR:Quay:2525:,any,
LA POMASSE,784842.5266423256,6477084.068593059,bus,,FR:Quay:2526:,any,
EMILIEUX,790909.850450792,6477297.265154836,bus,,FR:Quay:2527:,any,
EMILIEUX,790960.9450463487,6477313.815441471,bus,,FR:Quay:2528:,any,
LA SOULIERE,796788.4950036444,6477762.812197837,bus,,FR:Quay:83:,any,
LA SOULIERE,796773.6285968075,6477776.925991419,bus,,FR:Quay:84:,any,
PLACETTE GIRARDS,797101.8705379235,6477605.2868123995,bus,,FR:Quay:85:,any,
PLACETTE GIRARDS,797091.9227817582,6477610.366904229,bus,,FR:Quay:86:,any,
LES GIRARDS,797426.1868109786,6477794.354844848,bus,,FR:Quay:87:,any,
LES GIRARDS,797478.5779383404,6477845.8622492645,bus,,FR:Quay:88:,any,
LE SAGNON,798929.735136133,6477783.563312227,bus,,FR:Quay:89:,any,
LE SAGNON,798921.6579587657,6477773.641053548,bus,,FR:Quay:90:,any,
PLACE JEAN RIST,799180.291717386,6477405.771485911,bus,,FR:Quay:91:,any,
PLACE JEAN RIST,799143.6422878343,6477443.049834976,bus,,FR:Quay:92:,any,
PONT DU SAUZE,799658.5081657028,6477834.312008609,bus,,FR:Quay:94:,any,
PONT DU SAUZE,799645.4188695314,6477822.434208935,bus,,FR:Quay:95:,any,
CHATEAU LATOUR,800261.6003362145,6477674.3210822,bus,,FR:Quay:96:,any,
CHATEAU LATOUR,800257.9017265985,6477709.3209354235,bus,,FR:Quay:97:,any,
RUE VERDIE,800542.3266767036,6477437.1449640915,bus,,FR:Quay:98:,any,
PLACE DU BREUIL,800720.33141524,6477456.611485054,bus,,FR:Quay:99:,any,
