Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00479-1;479;87726430;Saint-Romain-le-Puy;42610;285;Saint-Romain-le-Puy;42;Loire;4.1208275;45.5545543;GARES C RHONE;Saint-Romain-le-Puy;SAINT ROMAIN LE PUY GARE;SRP;45.5545543, 4.1208275
00482-1;482;87726406;Andrézieux-Bouthéon;42160;5;Andrézieux-Bouthéon;42;Loire;4.254834;45.5217037;GARES C RHONE;Andrézieux-Bouthéon;ANDREZIEUX GARE;ANZ;45.5217037, 4.254834
00486-1;486;87726216;Bouthéon;42160;5;Andrézieux-Bouthéon;42;Loire;4.2777187;45.5246289;GARES C RHONE;Bouthéon;BOUTHEON GARE;BOH;45.5246289, 4.2777187
00488-1;488;87726190;Saint-Étienne Bellevue;42000;218;Saint-Étienne;42;Loire;4.392734;45.417128;GARES B RHONE ALPES;Saint-Étienne Bellevue;SAINT ETIENNE BELLEVUE GARE;SEB;45.417128, 4.392734
00490-1;490;87726158;Saint-Étienne La Terrasse;42000;218;Saint-Étienne;42;Loire;4.379601;45.464843;GARES B RHONE ALPES;Saint-Étienne La Terrasse;SAINT ETIENNE LA TERRASSE GARE;SET;45.464843, 4.379601
00491-1;491;87726000;Saint-Étienne Châteaucreux;42000;218;Saint-Étienne;42;Loire;4.399722;45.443366;GARE ST ETIENNE CHATEAUCREUX;Saint-Étienne Châteaucreux;SAINT ETIENNE CHATEAUCREUX GARE;SEN;45.443366, 4.399722
00522-1;522;87723536;Saint-Maurice-de-Beynost;1700;376;Saint-Maurice-de-Beynost;1;Ain;4.976986;45.827421;GARES B RHONE ALPES;Saint-Maurice-de-Beynost;SAINT MAURICE DE BEYNOST GARE;SMY;45.827421, 4.976986
00524-1;524;87723502;Crépieux la Pape;69140;286;Rillieux-la-Pape;69;Rhône;4.8922918;45.8038348;GARES C RHONE;Crépieux la Pape;CREPIEUX LA PAPE HALTE;CLP;45.8038348, 4.8922918
00532-1;532;87723353;Saint-Priest;69800;290;Saint-Priest;69;Rhône;4.934242;45.686659;GARES B RHONE ALPES;Saint-Priest;SAINT PRIEST GARE;SPR;45.686659, 4.934242
00533-1;533;87723320;Vénissieux;69200;259;Vénissieux;69;Rhône;4.888109;45.705551;GARES B RHONE ALPES;Vénissieux;VENISSIEUX GARE VOYAGEURS;VSX;45.705551, 4.888109
00535-1;535;87722744;Alaï;69340;244;Tassin-la-Demi-Lune;69;Rhône;4.7717824;45.7521198;GARES C RHONE;Alaï;;ALA;45.7521198, 4.7717824
00538-1;538;87722702;Francheville;69340;89;Francheville;69;Rhône;4.7693729;45.7336473;GARES C RHONE;Francheville;FRANCHEVILLE GARE;FRW;45.7336473, 4.7693729
00539-1;539;87722678;Le Péage-de-Roussillon;38550;298;Péage-de-Roussillon;38;Isère;4.795402;45.371797;GARES B RHONE ALPES;Le Péage-de-Roussillon;LE PEAGE DE ROUSSILLON GARE;PGR;45.371797, 4.795402
00543-1;543;87722561;Chasse-sur-Rhône;38670;87;Chasse-sur-Rhône;38;Isère;4.794843;45.582370;GARES B RHONE ALPES;Chasse-sur-Rhône;CHASSE SUR RHONE GARE;CSR;45.58237, 4.794843
00547-1;547;87722439;Givors Canal;69700;91;Givors;69;Rhône;4.7725754;45.5957662;GARES C RHONE;Givors Canal;GIVORS CANAL GARE;GIC;45.5957662, 4.7725754
00576-1;576;87721449;Dardilly Le Jubin;69570;72;Dardilly;69;Rhône;4.7613451;45.815143;GARES C RHONE;Dardilly Le Jubin;DARDILLY GARE;DDJ;45.815143, 4.7613451
00581-1;581;87721340;Saint-Georges-de-Reneins;69830;206;Saint-Georges-de-Reneins;69;Rhône;4.7188908;46.0621952;GARES C RHONE;Saint-Georges-de-Reneins;SAINT GEORGES DE RENEINS GARE;SDI;46.0621952, 4.7188908
00587-1;587;87721241;Couzon-au-Mont-d'Or;69270;68;Couzon-au-Mont-d'Or;69;Rhône;4.8294786;45.8486737;GARES C RHONE;Couzon-au-Mont-d'Or;COUZON AU MONT D OR GARE;KMD;45.8486737, 4.8294786
00591-1;591;87721050;Régny;42630;181;Régny;42;Loire;4.2150753;45.987705;GARES C RHONE;Régny;REGNY GARE;RGY;45.987705, 4.2150753
00592-1;592;87721043;Saint-Victor - Thizy;42630;293;Saint-Victor-sur-Rhins;42;Loire;4.2810245;46.0024781;GARES C RHONE;Saint-Victor - Thizy;SAINT VICTOR THIZY GARE;SVH;46.0024781, 4.2810245
02425-1;2425;87282624;Lyon Jean Macé;69007;123;Lyon;69;Rhône;4.84139;45.74495;GARES B RHONE ALPES;Lyon Jean Macé;LYON GUILLOTIERE GARE;LJC;45.74495, 4.84139
02670-1;2670;87208553;Casino Lacroix Laval;69260;250;Tour-de-Salvagny;69;Rhône;4.7309383;45.7878115;GARES C RHONE;Casino Lacroix Laval;HALTE DE LACROIX LAVAL;CCL;45.7878115, 4.7309383
00150-1;150;87764308;Pierrelatte;26700;235;Pierrelatte;26;Drôme;4.703783;44.374719;GARES B RHONE ALPES;Pierrelatte;PIERRELATTE GARE;PRL;44.374719, 4.703783
00168-1;168;87761783;Crest;26400;108;Crest;26;Drôme;5.0160968;44.7301546;GARES C RHONE;Crest;CREST GARE;CRE;44.7301546, 5.0160968
00174-1;174;87761650;Romans - Bourg-de-Péage;26300;281;Romans-sur-Isère;26;Drôme;5.049800;45.048857;GARES B RHONE ALPES;Romans - Bourg-de-Péage;ROMANS BOURG DE PEAGE GARE;ROM;45.048857, 5.0498
00179-1;179;87761130;Saint-Vallier sur Rhône;26240;333;Saint-Vallier;26;Drôme;4.814390;45.186395;GARES B RHONE ALPES;Saint-Vallier sur Rhône;SAINT VALLIER SUR RHONE GARE;SUO;45.186395, 4.81439
00180-1;180;87761106;Saint-Rambert-d'Albon;26140;325;Saint-Rambert-d'Albon;26;Drôme;4.810849;45.297797;GARES B RHONE ALPES;Saint-Rambert-d'Albon;SAINT RAMBERT D ALBON P GARE;SRA;45.297797, 4.810849
00462-1;462;87726901;Saint-Étienne Carnot;42000;218;Saint-Étienne;42;Loire;4.385317;45.446976;GARES B RHONE ALPES;Saint-Étienne Carnot;SAINT ETIENNE CARNOT GARE;SEO;45.446976, 4.385317
00466-1;466;87726851;Saint-Jodard;42590;241;Saint-Jodard;42;Loire;4.125231;45.8857125;GARES C RHONE;Saint-Jodard;SAINT MARTIN SAIL LES BAINS GARE;SNJ;45.8857125, 4.125231
00467-1;467;87726828;Le Coteau;42120;71;Coteau;42;Loire;4.086248;46.023984;GARES C RHONE;Le Coteau;LE COTEAU P GARE;LCU;46.023984, 4.086248
00474-1;474;87726729;Firminy;42700;95;Firminy;42;Loire;4.286430;45.391625;GARES B RHONE ALPES;Firminy;FIRMINY P GARE;FNY;45.391625, 4.28643
00476-1;476;87726703;La Ricamarie;42150;183;Ricamarie;42;Loire;4.360686;45.4041516;GARES C RHONE;La Ricamarie;LA RICAMARIE P GARE;LRM;45.4041516, 4.360686
00483-1;483;87726331;Rive-de-Gier;42800;186;Rive-de-Gier;42;Loire;4.606648;45.524324;GARES B RHONE ALPES;Rive-de-Gier;RIVE DE GIER GARE;RGR;45.524324, 4.606648
00485-1;485;87726232;La Fouillouse;42480;97;Fouillouse;42;Loire;4.3170839;45.4977675;GARES C RHONE;La Fouillouse;LA FOUILLOUSE GARE;LFI;45.4977675, 4.3170839
00487-1;487;87726208;Veauche - Saint-Galmier;42340;323;Veauche;42;Loire;4.293438;45.565928;GARES C RHONE;Veauche - Saint-Galmier;SAINT GALMIER VEAUCHE GARE;SGL;45.565928, 4.293438
00510-1;510;87723767;Marlieux - Châtillon;1240;235;Marlieux;1;Ain;5.0731097;46.0638765;GARES B RHONE ALPES;Marlieux - Châtillon;MARLIEUX CHATILLON GARE;MXC;46.0638765, 5.0731097
00511-1;511;87723759;Villars-les-Dombes;1330;443;Villars-les-Dombes;1;Ain;5.028404;46.004206;GARES B RHONE ALPES;Villars-les-Dombes;VILLARS LES DOMBES GARE;VLD;46.004206, 5.028404
00513-1;513;87723734;Saint-André-de-Corcy;1390;333;Saint-André-de-Corcy;1;Ain;4.948846;45.925911;GARES B RHONE ALPES;Saint-André-de-Corcy;SAINT ANDRE DE CORCY GARE;SAY;45.925911, 4.948846
00518-1;518;87723577;La Valbonne;1360;27;Balan;1;Ain;5.124911;45.849225;GARES B RHONE ALPES;La Valbonne;LA VALBONNE GARE;VAO;45.849225, 5.124911
00534-1;534;87723197;Lyon Part Dieu;69003;123;Lyon;69;Rhône;4.859355;45.760559;GARE LYON PART DIEU;Lyon Part Dieu;LYON PART DIEU GARE TGV;LYD;45.760559, 4.859355
00542-1;542;87722579;Estressin;38200;544;Vienne;38;Isère;4.868273;45.540285;GARES C RHONE;Estressin;ESTRESSIN GARE;ESN;45.540285, 4.868273
00545-1;545;87722546;Sérézin-du-Rhône;69360;294;Sérézin-du-Rhône;69;Rhône;4.818060;45.627160;GARES B RHONE ALPES;Sérézin-du-Rhône;SEREZIN DE LA TOUR EX GARE;SZN;45.62716, 4.81806
00550-1;550;87722264;Vernaison;69390;260;Vernaison;69;Rhône;4.8132908;45.6456478;GARES C RHONE;Vernaison;VERNAISON GARE;VNI;45.6456478, 4.8132908
00556-1;556;87721829;Chamelet;69620;39;Chamelet;69;Rhône;4.5069346;45.9816414;GARES C RHONE;Chamelet;CHAMELET GARE;CWE;45.9816414, 4.5069346
00560-1;560;87721753;Châtillon d'Azergues;69380;50;Châtillon;69;Rhône;4.6451164;45.8751815;GARES C RHONE;Châtillon d'Azergues;CHATILLON D AZERGUES GARE;CDZ;45.8751815, 4.6451164
00561-1;561;87721746;Civrieux-d'Azergues;69380;59;Civrieux-d'Azergues;69;Rhône;4.7182413;45.8591831;GARES C RHONE;Civrieux-d'Azergues;CIVRIEUX D AZERGUES GARE;CZK;45.8591831, 4.7182413
00565-1;565;87721563;Fleurieux-sur-l'Arbresle;69210;86;Fleurieux-sur-l'Arbresle;69;Rhône;4.6603815;45.8449944;GARES B RHONE ALPES;Fleurieux-sur-l'Arbresle;FLEURIEUX SUR L ARBRESLE GARE;FSL;45.8449944, 4.6603815
00566-1;566;87721555;Lentilly;69210;112;Lentilly;69;Rhône;4.667103;45.821630;GARES B RHONE ALPES;Lentilly;LENTILLY GARE;LTY;45.82163, 4.667103
00568-1;568;87721530;Charbonnières-les-Bains;69260;44;Charbonnières-les-Bains;69;Rhône;4.735912;45.782142;GARES B RHONE ALPES;Charbonnières-les-Bains;CHARBONNIERES LES BAINS GARE;CRB;45.782142, 4.735912
00572-1;572;87721480;Dardilly Les Mouilles;69570;72;Dardilly;69;Rhône;4.7600288;45.7967409;GARES C RHONE;Dardilly Les Mouilles;;DDY;45.7967409, 4.7600288
00575-1;575;87721456;Saint-Romain-de-Popey;69490;234;Saint-Romain-de-Popey;69;Rhône;4.5423351;45.8616053;GARES C RHONE;Saint-Romain-de-Popey;SAINT ROMAIN DE POPEY GARE;SNP;45.8616053, 4.5423351
00579-1;579;87721415;Chazay - Marcilly;69380;125;Marcilly-d'Azergues;69;Rhône;4.7252221;45.8729618;GARES C RHONE;Chazay - Marcilly;CHAZAY MARCILLY GARE;CZM;45.8729618, 4.7252221
00584-1;584;87721290;Quincieux;69650;163;Quincieux;69;Rhône;4.7785643;45.9068815;GARES C RHONE;Quincieux;QUINCIEUX TREVOUX GARE;QUX;45.9068815, 4.7785643
00586-1;586;87721266;Albigny - Neuville;69250;3;Albigny-sur-Saône;69;Rhône;4.832874;45.874921;GARES B RHONE ALPES;Albigny - Neuville;VILLEVERT NEUVILLE GARE;VVN;45.874921, 4.832874
00588-1;588;87721225;Collonges - Fontaines;69660;63;Collonges-au-Mont-d'Or;69;Rhône;4.8466136;45.8291102;GARES C RHONE;Collonges - Fontaines;COLLONGES FONTAINES GARE;COF;45.8291102, 4.8466136
00590-1;590;87721159;Lyon Saint-Paul;69005;123;Lyon;69;Rhône;4.827057;45.766010;GARES B RHONE ALPES;Lyon Saint-Paul;LYON ST PAUL GARE;LSP;45.76601, 4.827057
01429-1;1429;87566919;Lentilly Charpenay;69210;112;Lentilly;69;Rhône;4.6824009;45.8165247;GARES B RHONE ALPES;Lentilly Charpenay;CHARPENAY GARE;CNJ;45.8165247, 4.6824009
00152-1;152;87764001;Montélimar;26200;198;Montélimar;26;Drôme;4.744792;44.559079;GARES B RHONE ALPES;Montélimar;MONTELIMAR GARE;MTR;44.559079, 4.744792
00465-1;465;87726869;Balbigny;42510;11;Balbigny;42;Loire;4.187443;45.817858;GARES B RHONE ALPES;Balbigny;BALBIGNY GARE;BBY;45.817858, 4.187443
00481-1;481;87726414;Bonson;42160;22;Bonson;42;Loire;4.2163084;45.5221941;GARES C RHONE;Bonson;BONSON GARE;BSN;45.5221941, 4.2163084
00484-1;484;87726307;Saint-Chamond;42400;207;Saint-Chamond;42;Loire;4.51695;45.47257;GARES B RHONE ALPES;Saint-Chamond;SAINT CHAMOND GARE;SCM;45.47257, 4.51695
00489-1;489;87726174;Saint-Étienne Le Clapier;42000;218;Saint-Étienne;42;Loire;4.3782267;45.4371122;GARES C RHONE;Saint-Étienne Le Clapier;SAINT ETIENNE LE CLAPIER GARE;SEC;45.4371122, 4.3782267
00498-1;498;87725739;Romanèche-Thorins;71570;372;Romanèche-Thorins;71;Saône-et-Loire;4.7421014;46.1763913;GARES C BOURGOGNE;Romanèche-Thorins;ROMANECHE THORINS GARE;RHR;46.1763913, 4.7421014
00509-1;509;87723783;Saint-Paul-de-Varax;1240;383;Saint-Paul-de-Varax;1;Ain;5.1282046;46.1000331;GARES C RHONE;Saint-Paul-de-Varax;SAINT PAUL DE VARAX GARE;SVX;46.1000331, 5.1282046
00515-1;515;87723718;Les Échets;1700;249;Miribel;1;Ain;4.9108215;45.8746675;GARES B RHONE ALPES;Les Échets;LES ECHETS GARE;ECH;45.8746675, 4.9108215
00516-1;516;87723700;Sathonay - Rillieux;69580;286;Rillieux-la-Pape;69;Rhône;4.875315;45.820264;GARES B RHONE ALPES;Sathonay - Rillieux;SATHONAY RILLIEUX P GARE;SYR;45.820264, 4.875315
00521-1;521;87723544;Beynost;1700;43;Beynost;1;Ain;5.006969;45.833915;GARES B RHONE ALPES;Beynost;BEYNOST GARE;BNO;45.833915, 5.006969
00529-1;529;87723395;La Verpillière;38290;537;Verpillière;38;Isère;5.150866;45.627600;GARES B RHONE ALPES;La Verpillière;LA VERPILLIERE GARE;VEI;45.6276, 5.150866
00530-1;530;87723387;Saint-Quentin-Fallavier;38070;449;Saint-Quentin-Fallavier;38;Isère;5.099896;45.638109;GARES B RHONE ALPES;Saint-Quentin-Fallavier;SAINT QUENTIN FALLAVIER GARE;SQF;45.638109, 5.099896
00537-1;537;87722710;Chaponost;69630;43;Chaponost;69;Rhône;4.7643014;45.6984889;GARES C RHONE;Chaponost;CHAPONOST GARE;CPT;45.6984889, 4.7643014
00546-1;546;87722538;Feyzin;69320;276;Feyzin;69;Rhône;4.8531349;45.6658584;GARES B RHONE ALPES;Feyzin;FEYZIN GARE;FEY;45.6658584, 4.8531349
00562-1;562;87721738;Dommartin - Lissieu;69380;76;Dommartin;69;Rhône;4.7344831;45.8397811;GARES C RHONE;Dommartin - Lissieu;DOMMARTIN LISSIEU GARE;DLU;45.8397811, 4.7344831
00567-1;567;87721548;La Tour-de-Salvagny;69890;250;Tour-de-Salvagny;69;Rhône;4.7164921;45.7998818;GARES B RHONE ALPES;La Tour-de-Salvagny;LA TOUR DE SALVAGNY GARE;TSW;45.7998818, 4.7164921
