Code plate-forme;Code gare;Code UIC;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;RG;Intitulé gare;UT;TVS;WGS 84
00455-1;455;87734004;Clermont-Ferrand;63000;113;Clermont-Ferrand;63;Puy-de-Dôme;3.100543;45.778945;GARE CLERMONT FERRAND;Clermont-Ferrand;CLERMONT FERRAND GARE;CLF;45.778945, 3.100543
00696-1;696;87696468;Béard;58160;25;Béard;58;Nièvre;3.3179944;46.8652207;GARES C BOURGOGNE;Béard;BEARD GARE;BVE;46.8652207, 3.3179944
00704-1;704;87696328;Moulins sur Allier;3000;190;Moulins;3;Allier;3.338842;46.561346;GARES B AUVERGNE;Moulins sur Allier;MOULINS SUR ALLIER P GARE;MSA;46.561346, 3.338842
00708-1;708;87696260;Saincaize-Meauce;58470;225;Saincaize-Meauce;58;Nièvre;3.0718704;46.9314165;GARES C BOURGOGNE;Saincaize-Meauce;SAINCAIZE GARE;SZE;46.9314165, 3.0718704
00710-1;710;87696211;Pougues-les-Eaux;58320;214;Pougues-les-Eaux;58;Nièvre;3.0940304;47.0767837;GARES C BOURGOGNE;Pougues-les-Eaux;POUGUES LES EAUX GARE;PSU;47.0767837, 3.0940304
00711-1;711;87696203;Tronsanges;58400;298;Tronsanges;58;Nièvre;3.0541532;47.113029;GARES C BOURGOGNE;Tronsanges;TRONSANGES GARE;TSG;47.113029, 3.0541532
00712-1;712;87696195;La Charité-sur-Loire;58400;59;Charité-sur-Loire;58;Nièvre;3.023883;47.179914;GARES B BOURGOGNE;La Charité-sur-Loire;LA CHARITE GARE;LAT;47.179914, 3.023883
00748-1;748;87691600;Les Perrières;58640;303;Varennes-Vauzelles;58;Nièvre;3.1467144;47.0055213;GARES C BOURGOGNE;Les Perrières;LES PERRIERES HALTE;PEF;47.0055213, 3.1467144
00749-1;749;87691469;Vauzelles;58640;303;Varennes-Vauzelles;58;Nièvre;3.1342094;47.0013565;GARES C BOURGOGNE;Vauzelles;VAUZELLES HALTE;VZE;47.0013565, 3.1342094
00750-1;750;87691436;Garchizy;58600;121;Garchizy;58;Nièvre;3.0858769;47.0429987;GARES C BOURGOGNE;Garchizy;GARCHIZY HALTE;GZY;47.0429987, 3.0858769
00897-1;897;87645481;Murat;15300;138;Murat;15;Cantal;2.8696045;45.1091483;GARES C AUVERGNE;Murat;MURAT GARE;MUR;45.1091483, 2.8696045
00900-1;900;87645192;Le Rouget;15290;268;Rouget-Pers;15;Cantal;2.2355043;44.8565391;GARES C AUVERGNE;Le Rouget;LE ROUGET (CANTAL) GARE;LRG;44.8565391, 2.2355043
00901-1;901;87645184;Boisset;15600;21;Boisset;15;Cantal;2.2497669;44.786038;GARES C AUVERGNE;Boisset;BOISSET (CANTAL) GARE;BCL;44.786038, 2.2497669
00905-1;905;87645135;Laroquebrou;15150;94;Laroquebrou;15;Cantal;2.1929167;44.9641658;GARES C AUVERGNE;Laroquebrou;LAROQUEBROU P GARE;LQB;44.9641658, 2.1929167
00919-1;919;87641357;Vallon-en-Sully;3190;127;Hérisson;3;Allier;2.6107538;46.5363284;GARES C AUVERGNE;Vallon-en-Sully;VALLON GARE;VLL;46.5363284, 2.6107538
00930-1;930;87641076;Saint-Bonnet-de-Rochefort;3800;220;Saint-Bonnet-de-Rochefort;3;Allier;3.1393877;46.1483796;GARES C AUVERGNE;Saint-Bonnet-de-Rochefort;SAINT BONNET DE ROCHEFORT GARE;SBD;46.1483796, 3.1393877
00931-1;931;87641068;Bellenaves;3330;22;Bellenaves;3;Allier;3.0665239;46.199256;GARES C AUVERGNE;Bellenaves;BELLENAVES GARE;BLE;46.199256, 3.0665239
