service_id,date,exception_type
000021,20230415,1
000021,20230416,1
000021,20230417,1
000021,20230418,1
000021,20230419,1
000021,20230420,1
000021,20230421,1
000021,20230422,1
000021,20230423,1
000021,20230424,1
000021,20230425,1
000021,20230426,1
000021,20230427,1
000021,20230428,1
000022,20230210,1
000022,20230213,1
000022,20230214,1
000022,20230215,1
000022,20230216,1
000022,20230217,1
000022,20230220,1
000022,20230221,1
000022,20230222,1
000022,20230223,1
000022,20230224,1
000023,20230227,1
000023,20230228,1
000023,20230301,1
000023,20230302,1
000023,20230303,1
000023,20230306,1
000023,20230307,1
000023,20230308,1
000023,20230309,1
000023,20230310,1
000023,20230313,1
000023,20230314,1
000023,20230315,1
000023,20230316,1
000023,20230317,1
000023,20230320,1
000023,20230321,1
000023,20230322,1
000023,20230323,1
000023,20230324,1
000023,20230327,1
000023,20230328,1
000023,20230329,1
000023,20230330,1
000023,20230331,1
000023,20230403,1
000023,20230404,1
000023,20230405,1
000023,20230406,1
000023,20230407,1
000023,20230411,1
000023,20230412,1
000023,20230413,1
000023,20230414,1
000023,20230417,1
000023,20230418,1
000023,20230419,1
000023,20230420,1
000023,20230421,1
000023,20230424,1
000023,20230425,1
000023,20230426,1
000023,20230427,1
000023,20230428,1
000023,20230502,1
000023,20230503,1
000023,20230504,1
000023,20230505,1
000023,20230509,1
000024,20230227,1
000024,20230228,1
000024,20230301,1
000024,20230303,1
000024,20230304,1
000024,20230306,1
000024,20230307,1
000024,20230308,1
000024,20230310,1
000024,20230311,1
000024,20230313,1
000024,20230314,1
000024,20230315,1
000024,20230317,1
000024,20230318,1
000024,20230320,1
000024,20230321,1
000024,20230322,1
000024,20230324,1
000024,20230325,1
000025,20230302,1
000025,20230309,1
000025,20230316,1
000025,20230323,1
000026,20230502,1
000026,20230503,1
000026,20230505,1
000026,20230506,1
000026,20230509,1
000027,20230327,1
000027,20230328,1
000027,20230329,1
000027,20230331,1
000027,20230401,1
000027,20230403,1
000027,20230404,1
000027,20230405,1
000027,20230406,1
000027,20230407,1
000027,20230408,1
000027,20230411,1
000027,20230412,1
000027,20230414,1
000027,20230415,1
000027,20230417,1
000027,20230418,1
000027,20230419,1
000027,20230421,1
000027,20230422,1
000027,20230424,1
000027,20230425,1
000027,20230426,1
000027,20230428,1
000027,20230429,1
000028,20230330,1
000028,20230413,1
000028,20230420,1
000028,20230427,1
000029,20230504,1
000030,20230210,1
000030,20230211,1
000030,20230213,1
000030,20230214,1
000030,20230215,1
000030,20230216,1
000030,20230217,1
000030,20230218,1
000030,20230220,1
000030,20230221,1
000030,20230222,1
000030,20230223,1
000030,20230224,1
000030,20230225,1
000031,20230208,1
000032,20230211,1
000032,20230218,1
000032,20230225,1
000033,20230304,1
000033,20230311,1
000033,20230318,1
000033,20230325,1
000034,20230212,1
000034,20230219,1
000034,20230226,1
000035,20230506,1
000036,20230501,1
000036,20230502,1
000036,20230503,1
000036,20230504,1
000036,20230505,1
000036,20230509,1
000037,20230327,1
000037,20230328,1
000037,20230329,1
000037,20230330,1
000037,20230331,1
000037,20230402,1
000037,20230403,1
000037,20230404,1
000037,20230405,1
000037,20230406,1
000037,20230407,1
000037,20230411,1
000037,20230412,1
000037,20230413,1
000037,20230414,1
000037,20230416,1
000037,20230417,1
000037,20230418,1
000037,20230419,1
000037,20230420,1
000037,20230421,1
000037,20230423,1
000037,20230424,1
000037,20230425,1
000037,20230426,1
000037,20230427,1
000037,20230428,1
000037,20230430,1
000038,20230401,1
000038,20230408,1
000038,20230415,1
000038,20230422,1
000038,20230429,1
000039,20230305,1
000039,20230312,1
000040,20230316,1
000040,20230317,1
000040,20230319,1
000040,20230320,1
000040,20230321,1
000040,20230322,1
000040,20230323,1
000040,20230324,1
000040,20230326,1
000041,20230227,1
000041,20230228,1
000041,20230301,1
000041,20230302,1
000041,20230303,1
000041,20230306,1
000041,20230307,1
000041,20230308,1
000041,20230309,1
000041,20230310,1
000041,20230313,1
000041,20230314,1
000041,20230315,1
000042,20230210,1
000042,20230213,1
000042,20230214,1
000042,20230215,1
000042,20230216,1
000042,20230217,1
000042,20230220,1
000042,20230221,1
000042,20230222,1
000042,20230223,1
000042,20230224,1
000042,20230227,1
000042,20230228,1
000042,20230301,1
000042,20230302,1
000042,20230303,1
000042,20230306,1
000042,20230307,1
000042,20230308,1
000042,20230309,1
000042,20230310,1
000042,20230313,1
000042,20230314,1
000042,20230315,1
000042,20230316,1
000042,20230317,1
000042,20230320,1
000042,20230321,1
000042,20230322,1
000042,20230323,1
000042,20230324,1
000043,20230327,1
000043,20230328,1
000043,20230329,1
000043,20230330,1
000043,20230331,1
000043,20230403,1
000043,20230404,1
000043,20230405,1
000043,20230406,1
000043,20230407,1
000043,20230411,1
000043,20230412,1
000043,20230413,1
000043,20230414,1
000043,20230417,1
000043,20230418,1
000043,20230419,1
000043,20230420,1
000043,20230421,1
000043,20230424,1
000043,20230425,1
000043,20230426,1
000043,20230427,1
000043,20230428,1
000044,20230305,1
000044,20230312,1
000044,20230319,1
000044,20230326,1
000044,20230402,1
000045,20230416,1
000045,20230423,1
000045,20230430,1
000046,20230501,1
000047,20230327,1
000047,20230328,1
000047,20230329,1
000047,20230330,1
000047,20230331,1
000048,20230227,1
000048,20230228,1
000048,20230301,1
000048,20230302,1
000048,20230306,1
000048,20230307,1
000048,20230308,1
000048,20230309,1
000048,20230310,1
000048,20230311,1
000048,20230312,1
000048,20230313,1
000048,20230314,1
000048,20230315,1
000048,20230316,1
000048,20230317,1
000048,20230318,1
000048,20230319,1
000048,20230320,1
000048,20230321,1
000048,20230322,1
000048,20230323,1
000048,20230324,1
000048,20230325,1
000048,20230326,1
000049,20230303,1
000049,20230304,1
000049,20230305,1
000050,20230401,1
000050,20230402,1
000050,20230403,1
000050,20230404,1
000050,20230405,1
000050,20230406,1
000050,20230407,1
000050,20230411,1
000050,20230412,1
000050,20230413,1
000050,20230414,1
000050,20230416,1
000050,20230417,1
000050,20230418,1
000050,20230419,1
000050,20230420,1
000050,20230421,1
000050,20230425,1
000050,20230426,1
000050,20230427,1
000050,20230428,1
000051,20230408,1
000051,20230415,1
000051,20230422,1
000051,20230423,1
000051,20230424,1
000051,20230429,1
000052,20230210,1
000052,20230212,1
000052,20230213,1
000052,20230214,1
000052,20230215,1
000052,20230216,1
000052,20230217,1
000052,20230221,1
000052,20230222,1
000052,20230223,1
000052,20230224,1
000053,20230211,1
000053,20230218,1
000053,20230219,1
000053,20230220,1
000053,20230225,1
000053,20230226,1
000054,20230501,1
000054,20230502,1
000054,20230503,1
000054,20230504,1
000054,20230509,1
000055,20230505,1
000055,20230506,1
000056,20230430,1
000057,20230303,1
000057,20230310,1
000058,20230317,1
000059,20230324,1
000060,20230313,1
000060,20230314,1
000060,20230315,1
000060,20230316,1
000061,20230320,1
000061,20230321,1
000061,20230322,1
000061,20230323,1
000062,20230227,1
000062,20230228,1
000062,20230301,1
000062,20230302,1
000062,20230306,1
000062,20230307,1
000062,20230308,1
000062,20230309,1
000063,20230227,1
000063,20230228,1
000063,20230301,1
000063,20230302,1
000063,20230306,1
000063,20230307,1
000063,20230308,1
000063,20230309,1
000063,20230313,1
000063,20230314,1
000063,20230315,1
000064,20230317,1
000064,20230324,1
000065,20230327,1
000065,20230328,1
000065,20230329,1
000065,20230330,1
000065,20230331,1
000065,20230401,1
000065,20230403,1
000065,20230404,1
000065,20230405,1
000065,20230406,1
000065,20230407,1
000065,20230411,1
000065,20230412,1
000065,20230413,1
000065,20230414,1
000065,20230415,1
000065,20230417,1
000065,20230418,1
000065,20230419,1
000065,20230420,1
000065,20230421,1
000065,20230422,1
000065,20230424,1
000065,20230425,1
000065,20230426,1
000065,20230427,1
000065,20230428,1
000065,20230429,1
000066,20230408,1
000067,20230502,1
000067,20230503,1
000067,20230504,1
000067,20230505,1
000068,20230506,1
000068,20230509,1
000069,20230304,1
000069,20230311,1
000070,20230316,1
000070,20230318,1
000070,20230320,1
000070,20230321,1
000070,20230322,1
000070,20230323,1
000070,20230325,1
000071,20230210,1
000071,20230217,1
000071,20230224,1
000072,20230213,1
000072,20230214,1
000072,20230215,1
000072,20230216,1
000072,20230220,1
000072,20230221,1
000072,20230222,1
000072,20230223,1
000073,20230212,1
000073,20230226,1
000074,20230211,1
000074,20230218,1
000074,20230219,1
000074,20230225,1
000075,20230304,1
000075,20230305,1
000075,20230311,1
000075,20230312,1
000075,20230318,1
000075,20230319,1
000075,20230325,1
000075,20230326,1
000076,20230405,1
000076,20230424,1
000076,20230425,1
000076,20230426,1
000076,20230427,1
000077,20230428,1
000078,20230501,1
000078,20230502,1
000078,20230503,1
000078,20230504,1
000078,20230505,1
000079,20230401,1
000079,20230402,1
000079,20230416,1
000079,20230430,1
000080,20230415,1
000080,20230422,1
000080,20230423,1
000080,20230429,1
000081,20230407,1
000081,20230421,1
000082,20230327,1
000082,20230328,1
000082,20230329,1
000082,20230330,1
000082,20230403,1
000082,20230404,1
000082,20230406,1
000082,20230408,1
000082,20230411,1
000082,20230412,1
000082,20230413,1
000082,20230417,1
000082,20230418,1
000082,20230419,1
000082,20230420,1
000083,20230331,1
000083,20230414,1
000084,20230509,1
000085,20230319,1
000085,20230326,1
000086,20230402,1
000086,20230416,1
000086,20230423,1
000086,20230430,1
000087,20230305,1
000087,20230312,1
000087,20230319,1
000087,20230326,1
000088,20230227,1
000089,20230320,1
000090,20230306,1
000091,20230331,1
000092,20230313,1
000093,20230316,1
000093,20230317,1
000093,20230321,1
000093,20230322,1
000093,20230323,1
000093,20230324,1
000094,20230228,1
000094,20230303,1
000094,20230309,1
000094,20230310,1
000095,20230314,1
000095,20230315,1
000096,20230301,1
000096,20230302,1
000096,20230307,1
000096,20230308,1
000097,20230210,1
000097,20230214,1
000097,20230215,1
000097,20230216,1
000097,20230217,1
000097,20230221,1
000097,20230222,1
000097,20230223,1
000097,20230224,1
000098,20230401,1
000098,20230415,1
000098,20230422,1
000098,20230429,1
000099,20230505,1
000099,20230509,1
000100,20230327,1
000100,20230328,1
000100,20230329,1
000100,20230330,1
000100,20230403,1
000100,20230404,1
000100,20230405,1
000100,20230406,1
000100,20230407,1
000100,20230411,1
000100,20230412,1
000100,20230413,1
000100,20230414,1
000100,20230417,1
000100,20230418,1
000100,20230419,1
000100,20230420,1
000100,20230421,1
000100,20230424,1
000100,20230425,1
000100,20230426,1
000100,20230427,1
000100,20230428,1
000101,20230502,1
000101,20230503,1
000101,20230504,1
000102,20230213,1
000102,20230220,1
000103,20230304,1
000103,20230305,1
000103,20230311,1
000103,20230312,1
000103,20230318,1
000103,20230319,1
000103,20230325,1
000104,20230404,1
000104,20230406,1
000105,20230403,1
000105,20230405,1
000105,20230411,1
000105,20230412,1
000105,20230413,1
000105,20230417,1
000105,20230418,1
000105,20230419,1
000105,20230420,1
000105,20230424,1
000105,20230425,1
000105,20230426,1
000105,20230427,1
000106,20230501,1
000106,20230502,1
000106,20230503,1
000106,20230504,1
000106,20230505,1
000106,20230508,1
000107,20230327,1
000107,20230328,1
000107,20230329,1
000107,20230330,1
000108,20230331,1
000108,20230407,1
000108,20230414,1
000108,20230421,1
000108,20230428,1
000109,20230211,1
000109,20230212,1
000109,20230218,1
000109,20230219,1
000109,20230225,1
000109,20230226,1
000110,20230401,1
000110,20230415,1
000110,20230416,1
000110,20230422,1
000110,20230423,1
000110,20230429,1
000110,20230430,1
000111,20230402,1
000112,20230326,1
000113,20230303,1
000114,20230310,1
000115,20230227,1
000115,20230228,1
000115,20230301,1
000115,20230306,1
000115,20230307,1
000115,20230308,1
000115,20230313,1
000115,20230314,1
000115,20230315,1
000115,20230316,1
000115,20230320,1
000115,20230321,1
000115,20230322,1
000115,20230323,1
000116,20230302,1
000116,20230309,1
000117,20230211,1
000117,20230225,1
000118,20230218,1
000119,20230304,1
000120,20230311,1
000120,20230318,1
000120,20230325,1
000121,20230401,1
000121,20230407,1
000121,20230414,1
000121,20230415,1
000121,20230428,1
000121,20230429,1
000122,20230422,1
000123,20230327,1
000123,20230328,1
000123,20230329,1
000123,20230330,1
000123,20230403,1
000123,20230404,1
000123,20230405,1
000123,20230406,1
000123,20230411,1
000123,20230412,1
000123,20230413,1
000123,20230417,1
000123,20230418,1
000123,20230419,1
000123,20230420,1
000123,20230424,1
000123,20230425,1
000123,20230426,1
000123,20230427,1
000124,20230421,1
000125,20230505,1
000126,20230301,1
000126,20230308,1
000127,20230227,1
000127,20230228,1
000127,20230302,1
000127,20230303,1
000127,20230305,1
000127,20230306,1
000127,20230307,1
000127,20230309,1
000127,20230310,1
000127,20230311,1
000127,20230312,1
000127,20230313,1
000127,20230314,1
000127,20230315,1
000127,20230316,1
000127,20230317,1
000127,20230318,1
000127,20230319,1
000127,20230320,1
000127,20230321,1
000127,20230322,1
000127,20230323,1
000127,20230324,1
000127,20230325,1
000127,20230326,1
000128,20230401,1
000128,20230407,1
000128,20230413,1
000128,20230414,1
000128,20230415,1
000128,20230420,1
000128,20230422,1
000128,20230427,1
000128,20230428,1
000128,20230430,1
000129,20230421,1
000129,20230429,1
000130,20230402,1
000130,20230403,1
000130,20230405,1
000130,20230410,1
000130,20230411,1
000130,20230412,1
000130,20230416,1
000130,20230417,1
000130,20230418,1
000130,20230419,1
000130,20230423,1
000130,20230424,1
000130,20230425,1
000130,20230426,1
000131,20230327,1
000131,20230328,1
000131,20230329,1
000131,20230404,1
000132,20230210,1
000132,20230211,1
000132,20230212,1
000132,20230213,1
000132,20230214,1
000132,20230215,1
000132,20230216,1
000132,20230219,1
000132,20230220,1
000132,20230221,1
000132,20230222,1
000132,20230223,1
000132,20230224,1
000132,20230226,1
000133,20230217,1
000133,20230218,1
000133,20230225,1
000134,20230330,1
000134,20230406,1
000135,20230501,1
000135,20230502,1
000135,20230503,1
000135,20230504,1
000135,20230508,1
000136,20230212,1
000136,20230219,1
000136,20230226,1
000136,20230305,1
000136,20230312,1
000136,20230319,1
000136,20230326,1
000137,20230410,1
000137,20230508,1
000138,20230311,1
000138,20230312,1
000138,20230318,1
000138,20230319,1
000138,20230325,1
000138,20230326,1
000139,20230304,1
000139,20230305,1
000140,20230331,1
000140,20230401,1
000140,20230402,1
000140,20230407,1
000140,20230414,1
000140,20230415,1
000140,20230428,1
000141,20230416,1
000141,20230421,1
000141,20230422,1
000141,20230423,1
000141,20230429,1
000141,20230430,1
000142,20230410,1
000143,20230501,1
000143,20230502,1
000143,20230504,1
000143,20230509,1
000144,20230503,1
000144,20230505,1
000144,20230508,1
000145,20230211,1
000146,20230212,1
000146,20230218,1
000146,20230219,1
000146,20230225,1
000146,20230226,1
000147,20230210,1
000147,20230213,1
000147,20230214,1
000147,20230215,1
000147,20230216,1
000147,20230220,1
000147,20230221,1
000147,20230222,1
000147,20230223,1
000148,20230217,1
000148,20230224,1
000149,20230310,1
000149,20230317,1
000149,20230324,1
000150,20230322,1
000151,20230307,1
000152,20230308,1
000152,20230315,1
000153,20230301,1
000154,20230323,1
000155,20230227,1
000155,20230228,1
000155,20230306,1
000155,20230313,1
000155,20230314,1
000155,20230320,1
000155,20230321,1
000156,20230316,1
000157,20230305,1
000158,20230312,1
000158,20230319,1
000158,20230326,1
000159,20230211,1
000159,20230218,1
000159,20230225,1
000159,20230304,1
000159,20230311,1
000159,20230318,1
000159,20230325,1
000159,20230331,1
000159,20230407,1
000159,20230414,1
000159,20230421,1
000159,20230428,1
000160,20230327,1
000160,20230403,1
000161,20230328,1
000161,20230329,1
000161,20230330,1
000161,20230404,1
000161,20230405,1
000161,20230406,1
000161,20230411,1
000161,20230412,1
000161,20230413,1
000161,20230417,1
000161,20230418,1
000161,20230419,1
000161,20230420,1
000161,20230424,1
000161,20230425,1
000161,20230426,1
000161,20230427,1
000162,20230411,1
000162,20230412,1
000162,20230413,1
000162,20230414,1
000162,20230417,1
000162,20230418,1
000162,20230419,1
000162,20230420,1
000162,20230421,1
000163,20230401,1
000163,20230402,1
000163,20230415,1
000163,20230416,1
000163,20230422,1
000163,20230423,1
000163,20230429,1
000163,20230430,1
000164,20230327,1
000164,20230328,1
000164,20230329,1
000164,20230330,1
000164,20230331,1
000164,20230403,1
000164,20230404,1
000164,20230405,1
000164,20230406,1
000164,20230407,1
000165,20230227,1
000165,20230228,1
000165,20230301,1
000165,20230302,1
000165,20230303,1
000165,20230306,1
000165,20230307,1
000165,20230308,1
000165,20230309,1
000165,20230310,1
000165,20230313,1
000165,20230314,1
000165,20230315,1
000165,20230316,1
000165,20230317,1
000165,20230320,1
000165,20230321,1
000165,20230322,1
000165,20230323,1
000165,20230324,1
000166,20230424,1
000166,20230425,1
000166,20230426,1
000166,20230427,1
000166,20230428,1
000167,20230508,1
000168,20230501,1
000168,20230508,1
000169,20230401,1
000169,20230402,1
000169,20230410,1
000169,20230415,1
000169,20230416,1
000169,20230422,1
000169,20230423,1
000169,20230429,1
000169,20230430,1
000170,20230212,1
000170,20230218,1
000170,20230219,1
000170,20230226,1
000171,20230305,1
000171,20230311,1
000171,20230312,1
000171,20230318,1
000171,20230319,1
000171,20230325,1
000171,20230326,1
000172,20230227,1
000172,20230228,1
000172,20230306,1
000172,20230307,1
000172,20230308,1
000172,20230313,1
000172,20230314,1
000172,20230315,1
000172,20230320,1
000172,20230321,1
000172,20230322,1
000173,20230501,1
000173,20230502,1
000173,20230503,1
000173,20230504,1
000173,20230508,1
000173,20230509,1
000174,20230327,1
000174,20230328,1
000174,20230329,1
000174,20230330,1
